,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,parlé,speak
20,arrivé,come
21,devrait,should
22,bébé,baby
23,longtemps,long time
24,heures,hours
25,vont,will
26,pendant,while
27,revoir,meet again
28,aucune,any
29,place,square
30,parle,speak
31,compris,understood
32,savais,knew
33,étaient,were
34,attention,Warning
35,voici,here is
36,pourrais,could
37,affaire,case
38,donner,give
39,type,type
40,leurs,their
41,donné,given
42,corps,body
43,endroit,place
44,yeux,eyes
45,façon,way
46,écoute,listen
47,dont,whose
48,trouve,find
49,premier,first
50,perdu,lost
51,main,hand
52,première,first
53,côté,side
54,pouvoir,power
55,vieux,old
56,sois,be
57,tiens,here
58,matin,morning
59,tellement,so much
60,point,point
61,venu,came
62,suite,after
63,pardon,sorry
64,venez,come
65,devant,in front of
66,vers,towards
67,minutes,minutes
68,mis,placed
69,belle,beautiful
70,droit,law
71,aimerais,would like to
72,aujourd'hui,today
73,mari,husband
74,cause,cause
75,enfin,finally
76,espère,hope
77,eau,water
78,attendez,Wait
79,parti,left
80,nouvelle,new
81,boulot,job
82,arrêter,Stop
83,dirait,would say
84,terre,Earth
85,compte,account
86,donne,given
87,loin,far
88,fin,end
89,croire,believe
90,chérie,sweetheart
91,gros,large
92,plutôt,rather
93,aura,will have
94,filles,girls
95,jouer,to play
96,bureau,office
